1ZHL C 0.000 72
1ZIK A 0.300 34
1ZIK B 0.307 33
1ZIL A 0.319 32
1ZIL B 0.330 33
1ZKK E 0.150 64
1ZKK F 0.000 73
1ZKK G 0.000 63
1ZKK H 0.022 66
1ZKY C 0.176 51
1ZKY D 0.192 51
1ZNI A 0.293 33
1ZNI B 0.208 48
1ZOQ B 0.283 30
1ZSD C 0.000 78
1ZT1 C 0.075 84
1ZUK C 0.160 63
1ZUZ B 0.056 76
1ZV7 A 0.357 29
1ZV7 B 0.332 32
1ZV8 D 0.161 58
1ZV8 E 0.113 57
1ZV8 F 0.060 59
1ZVZ B 0.117 64
1ZW2 B 0.002 67
1ZYS B 0.000 63
2A25 B 0.098 60
2A3G A 0.282 54
2A3G B 0.311 55
2A3G C 0.301 52
2A3G D 0.229 52
2A3I B 0.220 44
2A3Z C 0.148 45
2A40 E 0.143 39
2A40 F 0.165 38
2A4G C 0.029 52
2A4G D 0.103 67
2A4Q C 0.036 64
2A4Q D 0.078 68
2A4R C 0.022 53
2A4R D 0.088 68
2A6I C 0.371 53
2A83 C 0.084 78
2AIJ B 0.029 82
2AIK B 0.082 79
2AK4 E 0.002 89
2AK5 C 0.316 37
2AKA C 0.041 61
2ANM B 0.125 50
2AO6 B 0.067 53
2AP2 E 0.187 48
2AP2 F 0.008 52
2AQ9 B 0.463 34
2ARQ B 0.000 94
2ARR B 0.000 93
2ATP C 0.056 36
2AV1 C 0.017 75
2AV7 C 0.014 75
2AXF C 0.000 84
2AXG C 0.000 82
2AY0 A 0.108 48
2AY0 B 0.261 49
2B1A C 0.136 60
2B1F D 0.217 53
2B1H C 0.154 55
2B1J B 0.128 46
2B1N B 0.000 67
2B1V C 0.140 53
2B1V D 0.186 54
2B1Z C 0.189 57
